LIMITS	0	6500	-300
OBSTACLE	Platforms/sandFill.png	0	0	game
OBSTACLE	Platforms/sandFill.png	500	0	game
OBSTACLE	Platforms/sandFill.png	1000	0	game
OBSTACLE	Platforms/sandFill.png	1500	0	game
OBSTACLE	Platforms/sandFill.png	2000	0	game
OBSTACLE	Platforms/sandFill.png	2500	0	game
OBSTACLE	Platforms/sandFill.png	3000	0	game
OBSTACLE	Platforms/sandFill.png	3500	0	game
OBSTACLE	Platforms/sandFill.png	4000	0	game
OBSTACLE	Platforms/sandFill.png	4500	0	game
OBSTACLE	Platforms/sandFill.png	5000	0	game
OBSTACLE	Platforms/sandFill.png	5500	0	game
OBSTACLE	Platforms/sandFill.png	6000	0	game
OBSTACLE	Platforms/sandFill.png	6500	0	game
OBSTACLE	Platforms/sandFill.png	7000	0	game
OBSTACLE	Platforms/sandFill.png	7500	0	game
OBSTACLE	Platforms/sandFill.png	1500	500	game
OBSTACLE	Platforms/sandFill.png	2000	500	game
OBSTACLE	Platforms/sandFill.png	2500	500	game
OBSTACLE	Platforms/sandFill.png	3000	500	game
OBSTACLE	Platforms/sandFill.png	3500	500	game
OBSTACLE	Platforms/sandFill.png	4500	500	game
OBSTACLE	Platforms/sandFill.png	6000	500	game
OBSTACLE	Platforms/sandFill.png	2000	1000	game
OBSTACLE	Platforms/sandFill.png	2500	1000	game
OBSTACLE	Platforms/sandFill.png	3000	1000	game
OBSTACLE	Platforms/sandFill.png	3500	1000	game
OBSTACLE	Platforms/sandFill.png	4500	1000	game
OBSTACLE	Platforms/sandFill.png	6000	1000	game
OBSTACLE	Platforms/sandFill.png	2500	1500	game
OBSTACLE	Platforms/sandFill.png	3000	1500	game
OBSTACLE	Platforms/sandFill.png	3500	1500	game
OBSTACLE	Platforms/sandFill.png	4500	1500	game
OBSTACLE	Platforms/sandFill.png	6000	1500	game
END	end.png	6500	300	game
