LIMITS	0	3500	100
PLATFORM	Platforms/sandPlatform.png	-1750	150	game
PLATFORM	Platforms/sandPlatform.png	-1250	150	game
PLATFORM	Platforms/sandPlatform.png	-750	150	game
PLATFORM	Platforms/sandPlatform.png	-250	150	game
PLATFORM	Platforms/sandPlatform.png	250	150	game
PLATFORM	Platforms/sandPlatform.png	750	150	game
PLATFORM	Platforms/sandPlatform.png	1250	150	game
PLATFORM	Platforms/sandPlatform.png	2250	150	game
PLATFORM	Platforms/sandPlatform.png	2750	150	game
PLATFORM	Platforms/sandPlatform.png	3250	150	game
PLATFORM	Platforms/sandPlatform.png	3750	150	game
PLATFORM	Platforms/sandPlatform.png	4250	150	game
PLATFORM	Platforms/sandPlatform.png	4750	150	game
MOBILE_PLATFORM	Platforms/MobilePlatform.props	750	650	game
DISAPPEARING_PLATFORM	Platforms/sandFloatingPlatform.png	250	650	game
PLATFORM	Platforms/sandFill.png	-1750	-150	game
PLATFORM	Platforms/sandFill.png	-1250	-150	game
PLATFORM	Platforms/sandFill.png	-750	-150	game
PLATFORM	Platforms/sandFill.png	-250	-150	game
PLATFORM	Platforms/sandFill.png	250	-150	game
PLATFORM	Platforms/sandFill.png	750	-150	game
PLATFORM	Platforms/sandFill.png	1250	-150	game
PLATFORM	Platforms/sandFill.png	2250	-150	game
PLATFORM	Platforms/sandFill.png	2750	-150	game
PLATFORM	Platforms/sandFill.png	3250	-150	game
PLATFORM	Platforms/sandFill.png	3750	-150	game
PLATFORM	Platforms/sandFill.png	4250	-150	game
PLATFORM	Platforms/sandFill.png	4750	-150	game
OBSTACLE	Obstacles/ship.props	3000	350	game
ENEMY_STATIC	Enemies/seaUrchin.png	750	350	game
OBSTACLE	Platforms/sandFill.png	1350	350	game
ENEMY_AQUATIC	Enemies/WaterCroc.props	1750	-600	game
END	end.png	3400	250	game
